scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
social_copresence_event_window,sotopia_official_llm_agent,3,0.0,0.0,0.2,0.0,0.711,0.183,0.142,0.037,0.847,0.11,0.353,0.035,0.493,0.081,0.289,0.183,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.289,0.183,0.814,0.237,1.0,0.0,0.0,0.0,0.289,0.183,0.667,0.577,0.162,0.226,0.0,0.0,0.0,0.0,7.667,2.082,56.097,18.409,58173.333,20307.187,0.42,0.314,0.467,0.17
social_copresence_message_gated,agentsociety_official_plan_blocks,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.943,0.038,0.867,0.093,0.077,0.057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.618,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,39.721,30.282,16064.0,89.168,0.95,0.061,0.897,0.076
social_copresence_message_gated,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.897,0.059,0.717,0.16,0.18,0.123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.098,4.055,7918.667,69.01,0.93,0.017,0.767,0.13
social_copresence_message_gated,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.897,0.047,0.787,0.107,0.11,0.087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,63.847,19.47,61665.333,1602.3,0.963,0.029,0.827,0.081
social_copresence_message_gated,gatsim_official_planner,3,0.0,0.0,0.15,0.0,0.4,0.0,0.06,0.0,0.51,0.363,0.18,0.087,0.33,0.313,0.6,0.0,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.6,0.0,0.833,0.289,1.0,0.0,0.0,0.0,0.6,0.0,0.333,0.577,0.177,0.289,0.0,0.0,0.0,0.0,6.0,0.0,92.994,26.135,64762.0,2669.495,0.17,0.115,0.217,0.107
social_copresence_message_gated,generative_agents_official_planner,3,0.769,0.4,0.85,0.26,1.0,0.0,0.85,0.26,0.897,0.067,0.567,0.092,0.33,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.843,0.195,1.0,0.0,0.833,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.581,2.546,8032.333,118.627,0.847,0.058,0.703,0.064
social_copresence_message_gated,sotopia_official_llm_agent,3,0.308,0.0,0.417,0.115,0.933,0.058,0.393,0.136,0.88,0.062,0.613,0.202,0.267,0.168,0.067,0.058,0.0,0.0,0.0,0.0,0.619,0.33,1.0,0.0,0.067,0.058,0.843,0.195,1.0,0.0,0.5,0.0,0.067,0.058,0.667,0.577,0.017,0.029,0.0,0.0,0.0,0.0,8.667,2.309,92.916,57.674,68119.333,19016.854,0.877,0.123,0.627,0.21
social_copresence_open_meet,agentsociety_official_plan_blocks,3,0.667,0.577,0.633,0.404,0.933,0.058,0.603,0.411,0.763,0.254,0.52,0.368,0.243,0.196,0.067,0.058,0.0,0.0,0.0,0.0,0.6,0.346,1.0,0.0,0.067,0.058,0.809,0.145,1.0,0.0,0.667,0.577,0.067,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,1.155,36.139,13.082,26650.0,9721.826,0.623,0.337,0.67,0.259
social_copresence_open_meet,api_llm_plan_and_execute,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.97,0.01,0.927,0.025,0.043,0.015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.754,3.158,7955.667,4.933,0.983,0.006,0.937,0.021
social_copresence_open_meet,api_llm_react_tool_policy,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.957,0.025,0.89,0.056,0.067,0.055,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,57.405,29.06,43587.667,161.249,0.983,0.006,0.93,0.02
