repeat,fold,branch,control_set,train_images,test_images,accuracy,balanced_accuracy
2,3,random,6,75,22,0.45454545454545453,0.5416666666666666
2,3,random,7,75,22,0.36363636363636365,0.4340277777777778
3,0,official,-1,72,25,0.64,0.6236111111111111
3,0,random,0,72,25,0.36,0.4083333333333333
3,0,random,1,72,25,0.36,0.3680555555555556
3,0,random,2,72,25,0.44,0.5180555555555555
3,0,random,3,72,25,0.44,0.4777777777777778
3,0,random,4,72,25,0.48,0.5055555555555555
3,0,random,5,72,25,0.32,0.44305555555555554
3,0,random,6,72,25,0.48,0.5430555555555555
3,0,random,7,72,25,0.36,0.4305555555555556
3,1,official,-1,72,25,0.64,0.5972222222222222
3,1,random,0,72,25,0.56,0.6444444444444444
3,1,random,1,72,25,0.52,0.5138888888888888
3,1,random,2,72,25,0.52,0.48194444444444445
3,1,random,3,72,25,0.36,0.3763888888888889
3,1,random,4,72,25,0.44,0.39444444444444443
3,1,random,5,72,25,0.48,0.45416666666666666
3,1,random,6,72,25,0.36,0.37083333333333335
3,1,random,7,72,25,0.48,0.49166666666666664
3,2,official,-1,72,25,0.8,0.7625
3,2,random,0,72,25,0.52,0.5194444444444444
3,2,random,1,72,25,0.52,0.5166666666666666
3,2,random,2,72,25,0.4,0.30694444444444446
3,2,random,3,72,25,0.56,0.6388888888888888
3,2,random,4,72,25,0.6,0.4666666666666667
3,2,random,5,72,25,0.44,0.29444444444444445
3,2,random,6,72,25,0.48,0.39166666666666666
3,2,random,7,72,25,0.64,0.6597222222222222
3,3,official,-1,75,22,0.9545454545454546,0.9722222222222222
3,3,random,0,75,22,0.5909090909090909,0.6874999999999999
3,3,random,1,75,22,0.5909090909090909,0.7361111111111112
3,3,random,2,75,22,0.5,0.4340277777777778
3,3,random,3,75,22,0.36363636363636365,0.5381944444444444
3,3,random,4,75,22,0.5,0.5138888888888888
3,3,random,5,75,22,0.5454545454545454,0.5451388888888888
3,3,random,6,75,22,0.2727272727272727,0.18055555555555555
3,3,random,7,75,22,0.6363636363636364,0.7152777777777778
4,0,official,-1,72,25,0.72,0.6847222222222222
4,0,random,0,72,25,0.48,0.39444444444444443
4,0,random,1,72,25,0.52,0.3819444444444444
4,0,random,2,72,25,0.4,0.30416666666666664
4,0,random,3,72,25,0.6,0.5319444444444444
4,0,random,4,72,25,0.56,0.4722222222222222
4,0,random,5,72,25,0.6,0.5319444444444444
4,0,random,6,72,25,0.64,0.5944444444444444
4,0,random,7,72,25,0.4,0.30416666666666664
4,1,official,-1,72,25,0.88,0.8847222222222222
4,1,random,0,72,25,0.52,0.5138888888888888
4,1,random,1,72,25,0.48,0.5236111111111111
4,1,random,2,72,25,0.4,0.43333333333333335
4,1,random,3,72,25,0.48,0.48888888888888893
4,1,random,4,72,25,0.56,0.4986111111111111
4,1,random,5,72,25,0.4,0.35833333333333334
4,1,random,6,72,25,0.32,0.3055555555555556
4,1,random,7,72,25,0.48,0.5513888888888889
4,2,official,-1,72,25,0.92,0.9444444444444444
4,2,random,0,72,25,0.56,0.6791666666666667
4,2,random,1,72,25,0.48,0.6236111111111111
4,2,random,2,72,25,0.52,0.4388888888888889
4,2,random,3,72,25,0.52,0.4388888888888889
4,2,random,4,72,25,0.52,0.5111111111111111
4,2,random,5,72,25,0.52,0.4444444444444444
4,2,random,6,72,25,0.48,0.41388888888888886
4,2,random,7,72,25,0.56,0.5694444444444444
4,3,official,-1,75,22,0.7727272727272727,0.6493055555555556
4,3,random,0,75,22,0.5454545454545454,0.6041666666666666
4,3,random,1,75,22,0.5909090909090909,0.6805555555555555
4,3,random,2,75,22,0.5909090909090909,0.6284722222222222
4,3,random,3,75,22,0.4090909090909091,0.4583333333333333
4,3,random,4,75,22,0.5,0.5138888888888888
4,3,random,5,75,22,0.4090909090909091,0.513888888888889
4,3,random,6,75,22,0.5,0.5138888888888888
4,3,random,7,75,22,0.5454545454545454,0.6006944444444445
5,0,official,-1,72,25,0.76,0.7097222222222221
5,0,random,0,72,25,0.36,0.5138888888888888
5,0,random,1,72,25,0.4,0.5361111111111111
5,0,random,2,72,25,0.44,0.5263888888888889
5,0,random,3,72,25,0.56,0.6013888888888889
5,0,random,4,72,25,0.56,0.6361111111111111
5,0,random,5,72,25,0.52,0.6111111111111112
5,0,random,6,72,25,0.32,0.3138888888888889
5,0,random,7,72,25,0.44,0.48888888888888893
5,1,official,-1,72,25,0.72,0.65
5,1,random,0,72,25,0.56,0.5819444444444444
5,1,random,1,72,25,0.56,0.5791666666666666
5,1,random,2,72,25,0.48,0.5138888888888888
5,1,random,3,72,25,0.6,0.6666666666666666
5,1,random,4,72,25,0.44,0.48888888888888893
5,1,random,5,72,25,0.56,0.6013888888888889
5,1,random,6,72,25,0.4,0.4986111111111111
5,1,random,7,72,25,0.6,0.6722222222222223
5,2,official,-1,72,25,0.88,0.8194444444444444
5,2,random,0,72,25,0.6,0.6069444444444445
5,2,random,1,72,25,0.56,0.44166666666666665
5,2,random,2,72,25,0.48,0.3111111111111111
5,2,random,3,72,25,0.56,0.4041666666666667
5,2,random,4,72,25,0.56,0.3666666666666667
5,2,random,5,72,25,0.48,0.35694444444444445
5,2,random,6,72,25,0.56,0.3666666666666667
5,2,random,7,72,25,0.56,0.4666666666666667
5,3,official,-1,75,22,0.6363636363636364,0.6041666666666666
5,3,random,0,75,22,0.36363636363636365,0.4826388888888889
5,3,random,1,75,22,0.3181818181818182,0.4513888888888889
5,3,random,2,75,22,0.3181818181818182,0.2986111111111111
5,3,random,3,75,22,0.36363636363636365,0.4270833333333333
5,3,random,4,75,22,0.36363636363636365,0.3298611111111111
5,3,random,5,75,22,0.2727272727272727,0.2673611111111111
5,3,random,6,75,22,0.36363636363636365,0.3298611111111111
5,3,random,7,75,22,0.36363636363636365,0.4270833333333333
6,0,official,-1,72,25,0.76,0.7347222222222223
6,0,random,0,72,25,0.56,0.6416666666666666
6,0,random,1,72,25,0.52,0.6111111111111112
6,0,random,2,72,25,0.44,0.4861111111111111
6,0,random,3,72,25,0.56,0.6416666666666666
6,0,random,4,72,25,0.44,0.5583333333333333
6,0,random,5,72,25,0.48,0.5111111111111111
6,0,random,6,72,25,0.52,0.5736111111111111
6,0,random,7,72,25,0.48,0.5569444444444445
6,1,official,-1,72,25,0.8,0.7319444444444445
6,1,random,0,72,25,0.44,0.4041666666666667
6,1,random,1,72,25,0.28,0.2583333333333333
6,1,random,2,72,25,0.44,0.2861111111111111
6,1,random,3,72,25,0.48,0.4513888888888889
6,1,random,4,72,25,0.44,0.3833333333333333
6,1,random,5,72,25,0.36,0.2361111111111111
6,1,random,6,72,25,0.44,0.39166666666666666
6,1,random,7,72,25,0.4,0.2638888888888889
6,2,official,-1,72,25,0.72,0.6472222222222221
6,2,random,0,72,25,0.56,0.6416666666666666
6,2,random,1,72,25,0.4,0.4986111111111111
6,2,random,2,72,25,0.44,0.4236111111111111
6,2,random,3,72,25,0.44,0.5236111111111111
6,2,random,4,72,25,0.52,0.4361111111111111
6,2,random,5,72,25,0.4,0.3611111111111111
6,2,random,6,72,25,0.48,0.4458333333333333
6,2,random,7,72,25,0.32,0.41388888888888886
6,3,official,-1,75,22,0.7272727272727273,0.7777777777777778
6,3,random,0,75,22,0.5454545454545454,0.6180555555555556
6,3,random,1,75,22,0.5454545454545454,0.5590277777777778
6,3,random,2,75,22,0.5,0.53125
6,3,random,3,75,22,0.6363636363636364,0.7118055555555555
6,3,random,4,75,22,0.5909090909090909,0.53125
6,3,random,5,75,22,0.5909090909090909,0.5347222222222222
6,3,random,6,75,22,0.5909090909090909,0.5347222222222222
6,3,random,7,75,22,0.5909090909090909,0.6805555555555555
7,0,official,-1,72,25,0.76,0.7375
7,0,random,0,72,25,0.68,0.7194444444444444
7,0,random,1,72,25,0.36,0.33611111111111114
7,0,random,2,72,25,0.4,0.36388888888888893
7,0,random,3,72,25,0.56,0.6041666666666666
7,0,random,4,72,25,0.56,0.5013888888888889
7,0,random,5,72,25,0.44,0.39166666666666666
7,0,random,6,72,25,0.48,0.4513888888888889
7,0,random,7,72,25,0.4,0.4666666666666667
7,1,official,-1,72,25,0.72,0.6791666666666667
7,1,random,0,72,25,0.32,0.42083333333333334
7,1,random,1,72,25,0.36,0.3458333333333333
7,1,random,2,72,25,0.4,0.2638888888888889
7,1,random,3,72,25,0.48,0.39166666666666666
7,1,random,4,72,25,0.36,0.2388888888888889
7,1,random,5,72,25,0.52,0.41666666666666663
7,1,random,6,72,25,0.4,0.3388888888888889
7,1,random,7,72,25,0.4,0.4361111111111111
7,2,official,-1,72,25,0.88,0.8875
7,2,random,0,72,25,0.52,0.6222222222222222
7,2,random,1,72,25,0.52,0.6166666666666667
7,2,random,2,72,25,0.6,0.6666666666666666
7,2,random,3,72,25,0.56,0.6069444444444445
7,2,random,4,72,25,0.48,0.5194444444444444
7,2,random,5,72,25,0.64,0.6597222222222222
7,2,random,6,72,25,0.56,0.5694444444444444
7,2,random,7,72,25,0.52,0.5472222222222223
7,3,official,-1,75,22,0.7727272727272727,0.7604166666666666
7,3,random,0,75,22,0.5909090909090909,0.5833333333333333
7,3,random,1,75,22,0.5,0.5798611111111112
7,3,random,2,75,22,0.5454545454545454,0.7048611111111112
