2026/07/27 13:15:54.606, 0, 1, 15.93, 29
2026/07/27 13:15:56.651, 0, 1, 15.93, 29
2026/07/27 13:15:58.696, 0, 1, 16.20, 29
2026/07/27 13:16:00.753, 0, 4, 17.18, 29
2026/07/27 13:16:02.800, 0, 4, 15.88, 29
2026/07/27 13:16:04.844, 0, 4, 16.16, 29
2026/07/27 13:16:06.889, 0, 4, 16.09, 29
2026/07/27 13:16:08.930, 0, 4, 16.07, 29
2026/07/27 13:16:10.973, 0, 4, 16.48, 29
2026/07/27 13:16:13.015, 4, 770, 72.79, 31
2026/07/27 13:16:15.055, 59, 1238, 117.03, 34
2026/07/27 13:16:17.092, 0, 1238, 117.14, 33
2026/07/27 13:16:19.132, 2, 1238, 117.63, 34
2026/07/27 13:16:21.171, 0, 1238, 117.73, 34
2026/07/27 13:16:23.207, 0, 1238, 118.14, 34
2026/07/27 13:16:25.244, 10, 1238, 120.38, 35
2026/07/27 13:16:27.279, 0, 1238, 110.81, 35
2026/07/27 13:16:29.319, 67, 1238, 118.28, 35
2026/07/27 13:16:31.356, 54, 1238, 118.70, 37
2026/07/27 13:16:33.389, 0, 1238, 118.39, 36
2026/07/27 13:16:35.427, 0, 1238, 108.49, 36
2026/07/27 13:16:37.465, 0, 1238, 90.74, 36
