entropy_run,num_visited_locations,rho_h1_run,tar_h1_run,bsr_h1_run,rho_h2_run,tar_h2_run,bsr_h2_run,rho_h3_run,tar_h3_run,bsr_h3_run,seed,condition
0.9079453312620434,15.0,0.39204996384296587,0.4142200162997164,0.4142200162997164,0.5658636825981075,0.6414171222168217,0.6414171222168217,,,,1,C1
0.8766094503586107,15.0,0.5630365121123393,0.6372680252823865,0.6372680252823865,0.8752103886281405,1.3549234645601251,1.3549234645601251,0.6545582610054071,0.7832326697535792,0.7832326697535792,1,C6m
0.8199495275776357,15.0,0.7206320683247026,0.9089586596650716,0.9089586596650716,0.9169029422964176,1.5692284086142194,1.5692284086142194,0.6434325717995281,0.7640095018411425,0.7640095018411425,1,C4
0.8493284075860323,15.0,0.4644934020321193,0.5030257250202996,0.5030257250202996,0.45269094607848603,0.4880796497409331,0.4880796497409331,0.4094302834018147,0.43492657752754343,0.43492657752754343,2,C1
0.8396689891398385,15.0,0.7543802926709844,0.9830432646657272,0.9830432646657272,0.9025607132727697,1.4858632588894176,1.4858632588894176,0.6821952383781077,0.8332088359324372,0.8332088359324372,2,C6m
0.7578040101903721,15.0,0.5152769363176636,0.569887886175519,0.569887886175519,0.8951015338242344,1.4470174012078272,1.4470174012078272,0.6772338184626306,0.8239865069112512,0.8239865069112512,2,C4
0.9021018294717567,15.0,0.3646976407841543,0.3822935663438338,0.3822935663438338,0.7496444380174931,0.9721428563213527,0.9721428563213527,,,,3,C1
0.8912126728144849,15.0,0.6291034303526661,0.7399309320085655,0.7399309320085655,0.9350665443588402,1.6972670042963933,1.6972670042963933,0.5071763905747807,0.558920959731943,0.558920959731943,3,C6m
0.889897769399772,15.0,0.7463689279077276,0.9647066369572639,0.9647066369572639,0.9141143921033491,1.5519970330608692,1.5519970330608692,0.5071763905747807,0.558920959731943,0.558920959731943,3,C4
0.9366235522283792,15.0,0.43216670432922283,0.46255793613832225,0.46255793613832225,0.710525151166928,0.8882436465036746,0.8882436465036746,,,,4,C1
0.9489614734666099,15.0,0.7979744005413193,1.0930107789119499,1.0930107789119499,0.9069351804238983,1.5099781898112166,1.5099781898112166,0.6434325717995281,0.7640095018411425,0.7640095018411425,4,C6m
0.8559297275047517,15.0,0.849316366239828,1.2536944098701284,1.2536944098701284,0.9248072780058696,1.6212633410546085,1.6212633410546085,0.6434325717995281,0.7640095018411425,0.7640095018411425,4,C4
0.8555101147551151,15.0,0.1238864366137208,0.12452613460261445,0.12452613460261445,0.4283348773460604,0.4578556266604378,0.4578556266604378,0.19489486071727682,0.19742030056840554,0.19742030056840554,5,C1
0.8620970082546778,15.0,0.533893111953922,0.5955746594432795,0.5955746594432795,0.8630053042542849,1.3050020049304638,1.3050020049304638,0.6626425264387412,0.7975101892423725,0.7975101892423725,5,C6m
0.8303306742858502,15.0,0.7463689279077276,0.9647066369572639,0.9647066369572639,0.833025552414919,1.1979411978603975,1.1979411978603975,0.69546692403323,0.85846687408495,0.85846687408495,5,C4
0.9223709592265257,15.0,0.46316600379587597,0.5013344738888529,0.5013344738888529,0.6212540424305704,0.727044772674264,0.727044772674264,,,,6,C1
0.9331259947468247,15.0,0.8538632989126079,1.2702422589440647,1.2702422589440647,0.8483780957076019,1.2503369391654986,1.2503369391654986,0.3464674335917916,0.36142368016819304,0.36142368016819304,6,C6m
0.8586480163916484,15.0,0.7238915661705246,0.9157729439187379,0.9157729439187379,0.9300690279112476,1.6589012022571277,1.6589012022571277,0.5145737504573041,0.5689309777623246,0.5689309777623246,6,C4
0.8893802937942337,15.0,0.4513133304703909,0.486348310749886,0.486348310749886,0.3000788451082716,0.3096062494316113,0.3096062494316113,0.2077082124641548,0.2107750303868154,0.2107750303868154,7,C1
0.8883628343865648,15.0,0.8078052743369017,1.1206798893321188,1.1206798893321188,0.9160348004901208,1.5638053500045541,1.5638053500045541,0.4744502802158136,0.5157978539223642,0.5157978539223642,7,C6m
0.81863412838157,15.0,0.9090924736822057,1.5222702339616372,1.5222702339616372,0.8632405133251648,1.3059243254963966,1.3059243254963966,0.6301260378126045,0.7416251548766524,0.7416251548766524,7,C4
0.9327067652352335,15.0,0.2425239311214626,0.24745403680015446,0.24745403680015446,0.7995995774192582,1.0975009921264531,1.0975009921264531,,,,8,C1
0.9144441015312305,15.0,0.7366892343839916,0.9432004439567928,0.9432004439567928,0.9169029422964176,1.5692284086142194,1.5692284086142194,0.6434325717995281,0.7640095018411425,0.7640095018411425,8,C6m
0.8968966716546134,15.0,0.6688823741108711,0.8087178834193041,0.8087178834193041,0.9248072780058696,1.6212633410546085,1.6212633410546085,0.5071763905747807,0.558920959731943,0.558920959731943,8,C4
0.8848536246157187,15.0,0.1038459836320895,0.10422170902729563,0.10422170902729563,0.5957480113630396,0.6865297300786776,0.6865297300786776,0.2583871664640865,0.26437941704726026,0.26437941704726026,9,C1
0.920019020136526,15.0,0.5470464611762313,0.6141566631414568,0.6141566631414568,0.8632405133251648,1.3059243254963966,1.3059243254963966,0.5996160198861245,0.6925474274600123,0.6925474274600123,9,C6m
0.8546222822984245,15.0,0.8026680689992182,1.1060679335999315,1.1060679335999315,0.8156393301102748,1.143649465613654,1.143649465613654,0.6333305574000901,0.7469578775307387,0.7469578775307387,9,C4
0.814193848127839,15.0,0.5229227055439097,0.5803540397565254,0.5803540397565254,0.4479582617421606,0.4821430457809926,0.4821430457809926,0.261272686053675,0.26747384945983227,0.26747384945983227,10,C1
0.8850767652652353,15.0,0.8945329467255428,1.444164504062593,1.444164504062593,0.8853082663017727,1.3997993351818172,1.3997993351818172,0.6434325717995281,0.7640095018411425,0.7640095018411425,10,C6m
0.7677189033331371,15.0,0.7463689279077276,0.9647066369572639,0.9647066369572639,0.8388476271655805,1.2172720161406019,1.2172720161406019,0.6301260378126045,0.7416251548766524,0.7416251548766524,10,C4
