entropy_run,num_visited_locations,rho_h1_run,tar_h1_run,bsr_h1_run,rho_h2_run,tar_h2_run,bsr_h2_run,rho_h3_run,tar_h3_run,bsr_h3_run,window_start,window_end,window_index,seed,condition
0.9248041831311749,14.0,0.37985297623547043,0.39988782424231784,0.39988782424231784,0.5466447160719992,0.6135835274687412,0.6135835274687412,,,,1,50,0,1,C1
0.9148895432441023,15.0,0.49557785970881174,0.5434272209677238,0.5434272209677238,0.6490600649449533,0.773672831672992,0.773672831672992,,,,51,100,1,1,C1
0.8854970947498165,14.0,0.16813344269787475,0.16974518282387707,0.16974518282387707,0.14418263299786443,0.14519440317736534,0.14519440317736534,,,,101,150,2,1,C1
0.8879029020085971,15.0,0.4646518925065033,0.5032278368320598,0.5032278368320598,0.8578056365815581,1.2849782133908432,1.2849782133908432,0.5145737504573041,0.5689309777623246,0.5689309777623246,1,50,0,1,C6m
0.8853367048640265,14.0,0.5155036271488677,0.5701965724676729,0.5701965724676729,0.7557602683535143,0.986253496869569,0.986253496869569,0.5920586402617903,0.6808298810592619,0.6808298810592619,51,100,1,1,C6m
0.8540530181173478,14.0,0.23607107082189846,0.24060918841301734,0.24060918841301734,0.7789399501560801,1.0426692744528507,1.0426692744528507,0.6678606336786864,0.8068711837834777,0.8068711837834777,101,150,2,1,C6m
0.8101312962731463,15.0,0.6584049100605851,0.7899927168706307,0.7899927168706307,0.8847979966207069,1.3974443959937046,1.3974443959937046,0.5234074239176436,0.581021421735055,0.581021421735055,1,50,0,1,C4
0.8306720645009199,15.0,0.48679710613931143,0.5318541102357642,0.5318541102357642,0.8425394086173404,1.2298623994936175,1.2298623994936175,0.5145737504573041,0.5689309777623246,0.5689309777623246,51,100,1,1,C4
0.8159317504041186,14.0,0.5680013037351131,0.6445672310197629,0.6445672310197629,0.7961731348940466,1.088071355728976,1.088071355728976,0.6678606336786864,0.8068711837834777,0.8068711837834777,101,150,2,1,C4
0.9087062848316106,15.0,0.5248481007824045,0.5830077686481231,0.5830077686481231,0.4879414705682042,0.5333549732606867,0.5333549732606867,0.48267698547828614,0.5264685205742917,0.5264685205742917,1,50,0,2,C1
0.8118378287614927,14.0,-0.005695292781056198,-0.005695354360443371,0.005695354360443371,0.5064833055439426,0.5579882949527719,0.5579882949527719,0.19913995456582007,0.20183683364560354,0.20183683364560354,51,100,1,2,C1
0.7986830396082065,15.0,0.5270741001610522,0.5860850572048891,0.5860850572048891,0.26107128069873503,0.26725770040278823,0.26725770040278823,0.042087701133220176,0.042112578607039014,0.042112578607039014,101,150,2,2,C1
0.8935759307032802,15.0,0.4211343476238701,0.4490701256469663,0.4490701256469663,0.8346896625743218,1.2034030423705688,1.2034030423705688,0.5423482734044802,0.60747645714706,0.60747645714706,1,50,0,2,C6m
0.7649072715682912,13.0,0.45300560628711267,0.4884754843845575,0.4884754843845575,0.7368662616446764,0.9435876778092219,0.9435876778092219,0.5476025613250636,0.6149505976337661,0.6149505976337661,51,100,1,2,C6m
0.8692178433818617,14.0,0.6968301992108787,0.861112076823385,0.861112076823385,0.7086932514452922,0.8845536730987448,0.8845536730987448,0.6673109786316764,0.8058796156669761,0.8058796156669761,101,150,2,2,C6m
