scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
paired_study_a,agentsociety_official_plan_blocks,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.02,0.92,0.046,0.04,0.026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.33,1.991,14021.333,50.639,0.98,0.01,0.953,0.025
paired_study_a,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.883,0.057,0.553,0.234,0.33,0.236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.617,0.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.885,0.827,9287.333,114.146,0.67,0.321,0.667,0.238
paired_study_a,generative_agents_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.973,0.006,0.947,0.025,0.027,0.021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.62,3.748,6760.333,2.517,0.827,0.24,0.96,0.02
paired_study_b,agentsociety_official_plan_blocks,3,0.692,0.267,0.6,0.173,0.625,0.125,0.387,0.187,0.877,0.047,0.703,0.18,0.173,0.15,0.375,0.125,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.375,0.125,0.692,0.267,1.0,0.0,0.375,0.125,0.667,0.577,0.252,0.095,0.0,0.0,0.0,0.0,8.0,3.464,46.39,19.604,57514.0,25084.531,0.92,0.046,0.813,0.081
paired_study_b,gatsim_official_planner,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.56,0.131,0.187,0.058,0.373,0.081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.203,0.088,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.432,2.052,18803.667,67.397,0.293,0.133,0.4,0.151
paired_study_b,generative_agents_official_planner,3,0.538,0.0,0.5,0.0,0.532,0.122,0.266,0.061,0.81,0.082,0.52,0.125,0.29,0.07,0.468,0.122,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.468,0.122,0.153,0.084,1.0,0.0,0.468,0.122,1.0,0.0,0.278,0.109,0.0,0.0,0.0,0.0,5.667,1.155,27.952,4.371,34084.333,6826.862,0.217,0.035,0.707,0.058
