shots,seed,method,final_val_accuracy,final_test_accuracy,best_epoch,best_alpha,best_beta
1,4,tip_adapter_f,66.01941747572816,57.28744939271255,0,1.5850000000000002,4.2055
1,4,toga,66.01941747572816,55.26315789473684,0,4.06,11.8215
1,5,tip_adapter_f,69.90291262135922,61.26855600539811,7,9.504999999999999,1.29
1,5,toga,65.53398058252426,57.48987854251012,2,6.535,0.1
1,6,tip_adapter_f,69.41747572815534,61.06612685560054,0,9.01,7.597
1,6,toga,66.99029126213593,59.78407557354926,0,2.575,3.8485000000000005
4,4,tip_adapter_f,67.47572815533981,60.256410256410255,7,4.06,1.4090000000000003
4,4,toga,67.96116504854369,57.557354925775975,13,3.565,8.9655
4,5,tip_adapter_f,66.99029126213593,58.56950067476383,0,7.5249999999999995,0.21900000000000003
4,5,toga,66.99029126213593,56.34278002699055,0,9.504999999999999,1.4090000000000003
4,6,tip_adapter_f,66.50485436893204,58.502024291497975,2,0.595,1.1710000000000003
4,6,toga,65.53398058252426,57.152496626180834,1,1.5850000000000002,0.1
16,4,tip_adapter_f,69.41747572815534,61.1336032388664,1,9.01,0.1595
16,4,toga,68.44660194174757,60.05398110661269,1,5.05,0.8140000000000001
16,5,tip_adapter_f,66.50485436893204,55.19568151147099,0,9.504999999999999,0.695
16,5,toga,66.99029126213593,58.29959514170041,5,9.01,0.1595
16,6,tip_adapter_f,72.81553398058253,59.37921727395412,1,3.565,11.762
16,6,toga,69.90291262135922,57.827260458839405,9,8.02,0.4570000000000001
