procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1636476 151868 32504616    0    0     0     6 10224 15188 50  2 48  0  0
 4  0      0 1636068 151868 32504616    0    0     0     2 9838 14718 49  1 50  0  0
 4  0      0 1634544 151868 32504616    0    0     0    67 10267 15338 50  2 49  0  0
 4  0      0 1628496 151872 32504620    0    0     0   206 10056 15006 49  1 50  0  0
 4  0      0 1635652 151876 32504620    0    0     0    81 10779 16040 50  2 48  0  0
 4  0      0 1630856 151888 32504628    0    0     0    23 9834 14883 49  1 50  0  0
 4  0      0 1635640 151900 32504644    0    0     0    66 13343 21648 50  2 48  0  0
 4  0      0 1634764 151908 32504644    0    0     0    10 9807 14767 49  1 50  0  0
 4  0      0 1631304 151908 32504644    0    0     0     0 10243 15540 50  2 48  0  0
 4  0      0 1634604 151912 32504648    0    0     0    43 9864 14898 49  1 50  0  0
 4  0      0 1642036 151916 32504652    0    0     0    21 10467 15570 50  2 48  0  0
 4  0      0 1641716 151924 32504652    0    0     0    26 9947 15031 49  1 50  0  0
 4  0      0 1638740 151928 32504652    0    0     0     6 10418 15613 50  2 48  0  0
 4  0      0 1640388 151936 32504656    0    0     0    53 9861 14919 49  1 50  0  0
 4  0      0 1638968 151944 32504656    0    0     0     6 10200 15382 50  2 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1640720 151944 32504656    0    0     0     2 9861 14868 49  1 50  0  0
 4  0      0 1639720 151956 32504656    0    0     0    10 10190 15614 49  2 49  0  0
 4  0      0 1639224 151964 32504656    0    0     0    13 9849 15163 50  1 49  0  0
 4  0      0 1638128 151964 32504660    0    0     0     9 10427 15748 50  2 49  0  0
 4  0      0 1638404 151976 32504632    0    0     0    14 9804 15139 49  1 50  0  0
 4  0      0 1638244 151988 32504632    0    0     0     9 10327 15674 50  2 49  0  0
 4  0      0 1638976 151988 32504632    0    0     0    73 10910 17139 49  1 49  0  0
 4  0      0 1636280 152000 32504632    0    0     0     9 10440 15829 50  2 48  0  0
 4  0      0 1633976 152008 32504632    0    0     0    14 9831 15027 49  1 50  0  0
 4  0      0 1637020 152016 32504636    0    0     0     8 10196 15423 50  2 49  0  0
 4  0      0 1638796 152016 32504636    0    0     0    10 9822 15113 49  1 50  0  0
 4  0      0 1636500 152024 32504636    0    0     0    10 10490 15960 50  2 49  0  0
 4  0      0 1638200 152024 32504640    0    0     0     5 10157 15493 49  1 49  0  0
 4  0      0 1639596 152036 32504640    0    0     0    20 10096 15362 50  2 49  0  0
 4  0      0 1638988 152036 32504640    0    0     0    42 9775 14675 49  1 50  0  0
 4  0      0 1635184 152044 32504640    0    0     0    13 10185 15119 50  2 48  0  0
 4  0      0 1635148 152052 32504632    0    0     0     8 9754 14734 49  1 50  0  0
 4  0      0 1637860 152052 32504640    0    0     0     4 10184 15578 50  2 49  0  0
 5  0      0 1637480 152060 32504640    0    0     0    20 9779 14735 49  1 50  0  0
 4  0      0 1637952 152076 32504644    0    0     0    69 10321 15334 50  2 48  0  0
 4  0      0 1635664 152088 32504648    0    0     0    13 9906 14810 49  1 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 1637160 152096 32504648    0    0     0    55 10229 15318 50  2 48  0  0
 5  0      0 1635332 152096 32504648    0    0     0     2 9734 14896 49  1 50  0  0
 4  0      0 1637820 152108 32504648    0    0     0    17 10202 15427 50  2 48  0  0
 4  0      0 1637220 152120 32504648    0    0     0    54 9739 14761 49  1 50  0  0
 4  0      0 1636736 152128 32504652    0    0     0    12 10103 15145 50  2 48  0  0
 4  0      0 1637468 152128 32504656    0    0     0     3 10987 16861 50  1 49  0  0
 4  0      0 1637724 152132 32504656    0    0     0     6 10190 15301 50  2 48  0  0
 4  0      0 1634408 152132 32504656    0    0     0     2 9953 15047 49  1 50  0  0
 5  0      0 1637636 152136 32504656    0    0     0    54 10158 15243 50  2 48  0  0
 4  0      0 1636636 152140 32504656    0    0     0    10 9916 14933 49  1 50  0  0
 4  0      0 1635628 152148 32504656    0    0     0    26 10409 15320 50  2 48  0  0
 4  0      0 1633548 152160 32504656    0    0     0    14 9595 14239 49  1 50  0  0
 4  0      0 1637092 152160 32504660    0    0     0     2 10166 15148 50  2 48  0  0
 4  0      0 1636256 152168 32504660    0    0     0    53 9783 14663 49  1 50  0  0
 4  0      0 1636692 152180 32504660    0    0     0     6 10089 15038 50  2 48  0  0
 4  0      0 1633620 152184 32504792    0    0     0    12 9734 14580 49  1 50  0  0
 4  0      0 1636148 152192 32504796    0    0     0     9 10127 15057 50  2 48  0  0
 4  0      0 1635652 152196 32504796    0    0     0     8 9750 14556 49  1 50  0  0
 4  0      0 1634852 152196 32504796    0    0     0     6 10253 15275 50  2 48  0  0
 4  0      0 1631092 152204 32504796    0    0     0     9 9939 15009 49  1 50  0  0
 4  0      0 1636712 152212 32504796    0    0     0    13 10123 15081 50  2 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1634500 152216 32504796    0    0     0    94 10947 16710 49  1 49  0  0
 4  0      0 1632108 152224 32504796    0    0     0    14 10318 15573 50  2 48  0  0
 4  0      0 1634332 152232 32504796    0    0     0    56 9839 15115 49  1 50  0  0
 4  0      0 1635780 152240 32504796    0    0     0     6 10156 15405 49  2 49  0  0
 4  0      0 1635456 152244 32504796    0    0     0     5 10003 15089 49  1 50  0  0
 4  0      0 2424768 152244 32490740    0    0     0     5 9712 14589 49  2 49  0  0
 2  0      0 3254064 152244 32476988    0    0     0    18 6190 9778 27  1 72  0  0
