timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W]
2026/07/26 05:25:49.832, 99 %, 692 MiB, 66, 99.91 W
2026/07/26 05:25:54.836, 99 %, 692 MiB, 66, 99.73 W
2026/07/26 05:25:59.839, 99 %, 692 MiB, 66, 99.70 W
2026/07/26 05:26:04.843, 99 %, 692 MiB, 66, 100.71 W
2026/07/26 05:26:09.846, 99 %, 692 MiB, 66, 100.87 W
2026/07/26 05:26:14.849, 99 %, 692 MiB, 66, 100.42 W
2026/07/26 05:26:19.853, 99 %, 692 MiB, 66, 99.74 W
2026/07/26 05:26:24.857, 99 %, 692 MiB, 66, 100.14 W
2026/07/26 05:26:29.861, 99 %, 692 MiB, 66, 100.96 W
2026/07/26 05:26:34.864, 99 %, 692 MiB, 66, 100.33 W
2026/07/26 05:26:39.868, 99 %, 692 MiB, 66, 100.12 W
2026/07/26 05:26:44.871, 99 %, 692 MiB, 66, 99.70 W
2026/07/26 05:26:49.875, 99 %, 692 MiB, 67, 99.85 W
2026/07/26 05:26:54.879, 99 %, 692 MiB, 67, 99.54 W
2026/07/26 05:26:59.882, 99 %, 692 MiB, 67, 100.46 W
2026/07/26 05:27:04.886, 99 %, 692 MiB, 67, 100.52 W
2026/07/26 05:27:09.889, 100 %, 692 MiB, 67, 100.59 W
2026/07/26 05:27:14.892, 99 %, 692 MiB, 67, 100.35 W
2026/07/26 05:27:19.900, 100 %, 692 MiB, 67, 100.35 W
2026/07/26 05:27:24.905, 100 %, 692 MiB, 67, 100.28 W
2026/07/26 05:27:29.908, 99 %, 692 MiB, 67, 99.92 W
2026/07/26 05:27:34.913, 100 %, 692 MiB, 67, 100.80 W
2026/07/26 05:27:39.918, 99 %, 692 MiB, 67, 100.64 W
2026/07/26 05:27:44.922, 99 %, 692 MiB, 67, 100.85 W
2026/07/26 05:27:49.925, 99 %, 692 MiB, 67, 100.78 W
2026/07/26 05:27:54.930, 99 %, 692 MiB, 67, 100.72 W
2026/07/26 05:27:59.934, 99 %, 692 MiB, 67, 100.54 W
2026/07/26 05:28:04.938, 99 %, 692 MiB, 67, 100.89 W
2026/07/26 05:28:09.941, 99 %, 692 MiB, 67, 100.74 W
