scenario_id,family,agent_type,plan_plausibility,trace_feasibility,plausibility_feasibility_gap,impossible_trace_rate,city_false_continue,goal_completion,task_completion,constraint_satisfaction,process_success,feasibility_violation,replanning_success,travel_efficiency,budget_consistency,intention_consistency,social_appropriateness,done_state_loop_rate,social_derailment_rate,final_time,final_location,final_budget,violations,failure_taxonomy,llm_calls,llm_latency_seconds,llm_input_tokens,llm_output_tokens,llm_total_tokens,llm_usage_complete
social_copresence_decoy_location,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:35,quiet_cafe,6.0,0,{},7,59.027,56815,6303,63118,True
social_copresence_decoy_location,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:43,quiet_cafe,6.0,0,{},1,16.01,6871,1341,8212,True
social_copresence_decoy_location,social_outcome,gatsim_official_planner,1.0,0.4,0.6,0.6,0.0,0.15,0.0,0.429,,0.6,,1.0,1.0,0.06,0.0,0.0,0.0,13:00,quiet_cafe,6.0,6,"{""invalid_state_transition"": 6}",6,85.963,57038,7516,64554,True
social_copresence_decoy_location,social_outcome,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.618,1.0,1.0,1.0,0.0,0.0,12:38,quiet_cafe,16.0,0,{},8,49.456,54714,6886,61600,True
social_copresence_decoy_location,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.955,1.0,1.0,1.0,0.0,0.0,12:35,quiet_cafe,6.0,0,{},1,14.951,6571,1624,8195,True
social_copresence_decoy_location,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.955,1.0,1.0,1.0,0.0,0.0,12:35,quiet_cafe,6.0,0,{},2,18.784,13692,1773,15465,True
social_copresence_event_window,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},6,40.432,47007,5226,52233,True
social_copresence_event_window,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:31,market,2.0,0,{},1,11.457,6864,1208,8072,True
social_copresence_event_window,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},1,9.432,8793,1342,10135,True
social_copresence_event_window,social_outcome,sotopia_official_llm_agent,1.0,0.5,0.5,0.5,1.0,0.2,0.0,0.4,,0.5,,1.0,1.0,0.1,0.0,0.0,0.0,16:45,market,2.0,5,"{""invalid_state_transition"": 4, ""money_budget_failure"": 1}",10,69.348,69689,10451,80140,True
social_copresence_event_window,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,16:30,market,2.0,0,{},1,18.548,6541,1478,8019,True
social_copresence_event_window,social_outcome,agentsociety_official_plan_blocks,1.0,0.833,0.167,0.167,0.0,0.7,1.0,0.4,,0.167,,0.895,1.0,0.583,1.0,0.0,0.0,16:30,market,16.0,1,"{""invalid_state_transition"": 1}",4,33.708,27483,5025,32508,True
social_copresence_message_gated,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,quiet_cafe,6.0,0,{},7,69.502,56668,5993,62661,True
social_copresence_message_gated,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:43,quiet_cafe,6.0,0,{},1,11.26,6867,973,7840,True
social_copresence_message_gated,social_outcome,gatsim_official_planner,1.0,0.4,0.6,0.6,0.0,0.15,0.0,0.429,,0.6,,1.0,1.0,0.06,0.0,0.0,0.0,13:05,quiet_cafe,6.0,6,"{""invalid_state_transition"": 6}",6,120.311,57006,8498,65504,True
social_copresence_message_gated,social_outcome,sotopia_official_llm_agent,1.0,0.9,0.1,0.1,1.0,0.35,0.308,0.429,,0.1,,0.955,1.0,0.315,0.5,0.0,0.0,12:40,quiet_cafe,6.0,1,"{""money_budget_failure"": 1}",10,83.988,69251,10939,80190,True
social_copresence_message_gated,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,0.55,0.308,1.0,,0.0,,0.955,1.0,0.55,0.5,0.0,0.0,12:45,quiet_cafe,6.0,0,"{""goal_drift"": 1}",1,14.46,6574,1560,8134,True
social_copresence_message_gated,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.618,1.0,1.0,1.0,0.0,0.0,12:42,quiet_cafe,16.0,0,{},2,19.245,13662,2328,15990,True
social_copresence_open_meet,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},5,47.118,39219,4420,43639,True
social_copresence_open_meet,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:43,park,16.0,0,{},1,10.008,6808,1150,7958,True
social_copresence_open_meet,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,12:40,park,16.0,0,{},1,16.508,8795,1259,10054,True
social_copresence_open_meet,social_outcome,sotopia_official_llm_agent,1.0,0.8,0.2,0.2,0.0,0.7,1.0,0.4,,0.2,,0.926,1.0,0.56,1.0,0.0,0.0,12:37,park,16.0,1,"{""invalid_state_transition"": 1}",6,56.683,40767,6328,47095,True
social_copresence_open_meet,social_outcome,generative_agents_official_planner,1.0,0.75,0.25,0.25,0.0,0.2,0.0,0.4,,0.25,,0.893,1.0,0.15,0.0,0.0,0.0,13:10,park,16.0,1,"{""invalid_state_transition"": 1}",3,35.715,17823,3652,21475,True
social_copresence_open_meet,social_outcome,agentsociety_official_plan_blocks,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.641,1.0,1.0,1.0,0.0,0.0,13:00,park,16.0,0,{},2,23.391,13636,1790,15426,True
social_copresence_two_party,social_outcome,api_llm_react_tool_policy,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},8,55.044,65953,6582,72535,True
social_copresence_two_party,social_outcome,api_llm_plan_and_execute,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:10,cafe_central,8.0,0,{},1,14.396,7064,1562,8626,True
social_copresence_two_party,social_outcome,gatsim_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,13:03,cafe_central,8.0,0,{},1,35.138,8845,1543,10388,True
social_copresence_two_party,social_outcome,sotopia_official_llm_agent,1.0,0.833,0.167,0.167,0.0,0.8,1.0,0.5,,0.167,,0.939,1.0,0.667,1.0,0.0,0.0,12:55,cafe_central,20.0,2,"{""done_state_loop"": 1, ""invalid_state_transition"": 1}",13,123.924,90812,13190,104002,True
social_copresence_two_party,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.939,1.0,1.0,1.0,0.0,0.0,13:06,cafe_central,8.0,0,{},1,23.048,6587,1295,7882,True
social_copresence_two_party,social_outcome,agentsociety_official_plan_blocks,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,,0.0,,1.0,1.0,0.4,0.0,0.0,0.0,12:00,office,20.0,0,"{""goal_drift"": 1}",2,28.653,13814,3049,16863,True
social_copresence_with_errand,social_outcome,api_llm_react_tool_policy,1.0,0.857,0.143,0.143,0.0,0.6,1.0,0.0,,0.143,,1.0,0.0,0.514,1.0,0.0,0.0,17:43,pharmacy,-5.0,1,"{""money_budget_failure"": 1}",8,70.692,65174,7751,72925,True
social_copresence_with_errand,social_outcome,api_llm_plan_and_execute,1.0,0.875,0.125,0.125,1.0,0.6,1.0,0.0,,0.125,,1.0,0.0,0.525,1.0,0.0,0.0,17:54,market,-5.0,1,"{""money_budget_failure"": 1}",1,27.99,6864,4090,10954,True
social_copresence_with_errand,social_outcome,gatsim_official_planner,1.0,0.9,0.1,0.1,1.0,0.25,0.417,0.0,,0.1,,0.5,0.0,0.225,0.0,0.0,0.0,18:14,home_aria,-5.0,1,"{""money_budget_failure"": 1}",2,28.044,18150,3837,21987,True
social_copresence_with_errand,social_outcome,sotopia_official_llm_agent,1.0,1.0,0.0,0.0,0.0,0.75,0.583,1.0,,0.0,,1.0,1.0,0.75,1.0,0.0,1.0,17:40,market,4.0,0,"{""social_derailment"": 1}",7,56.517,47906,7063,54969,True
social_copresence_with_errand,social_outcome,generative_agents_official_planner,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,,0.909,1.0,1.0,1.0,0.0,0.0,17:45,pharmacy,9.0,0,{},1,27.583,6592,1089,7681,True
social_copresence_with_errand,social_outcome,agentsociety_official_plan_blocks,1.0,0.875,0.125,0.125,0.0,0.45,0.417,0.5,,0.125,,0.811,1.0,0.394,0.0,0.0,0.0,17:48,market,9.0,1,"{""invalid_state_transition"": 1}",4,60.005,27744,5306,33050,True
