representation,style,train_recall,validation_recall,recall_drop
global_clip,Romanesque,78.94737124443054,83.99999737739563,-5.052626132965088
local_residual_head,Romanesque,84.21052694320679,83.99999737739563,0.21052956581115723
global_clip,Gothic,74.28571581840515,23.999999463558197,50.285716354846954
local_residual_head,Gothic,91.42857193946838,25.999999046325684,65.4285728931427
global_clip,Renaissance,100.0,71.42857313156128,28.57142686843872
local_residual_head,Renaissance,100.0,36.73469424247742,63.26530575752258
global_clip,Baroque,84.61538553237915,50.0,34.61538553237915
local_residual_head,Baroque,69.2307710647583,62.00000047683716,7.230770587921143
