agent_type,n,scenario_count,repeat_count,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,replanning_success_mean,replanning_success_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,social_appropriateness_mean,social_appropriateness_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std
api_llm_direct_actor,24,8,3,0.921,0.168,0.93,0.108,0.914,0.179,1.0,0.0,0.835,0.111,0.513,0.236,0.322,0.165,0.07,0.108,0.167,0.381,0.042,0.204,1.0,0.0,0.07,0.108,0.806,0.27,0.917,0.282,0.75,0.452,0.01,0.035,0.083,0.282,0.015,0.046,0.855,0.132,0.701,0.224
api_llm_plan_then_act,24,8,3,0.963,0.105,0.958,0.141,0.931,0.19,1.0,0.0,0.93,0.06,0.846,0.165,0.085,0.111,0.042,0.141,0.0,0.0,0.0,0.0,1.0,0.0,0.042,0.141,0.865,0.255,1.0,0.0,1.0,0.0,0.042,0.141,0.083,0.282,0.039,0.133,0.947,0.068,0.904,0.088
api_llm_reactive_replanner,24,8,3,0.938,0.169,0.875,0.338,0.875,0.338,0.0,0.0,0.898,0.12,0.813,0.219,0.087,0.109,0.125,0.338,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.338,0.911,0.241,1.0,0.0,1.0,0.0,0.125,0.338,0.0,0.0,0.115,0.312,0.902,0.187,0.86,0.164
utility_planner,24,8,3,0.906,0.178,0.875,0.338,0.844,0.336,0.0,0.0,0.82,0.153,0.619,0.26,0.202,0.178,0.125,0.338,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.338,1.0,0.0,1.0,0.0,0.75,0.452,0.125,0.338,0.0,0.0,0.086,0.237,0.847,0.178,0.701,0.248
