scenario_id,agent_type,n,task_completion_mean,task_completion_std,goal_completion_mean,goal_completion_std,trace_feasibility_mean,trace_feasibility_std,intention_consistency_mean,intention_consistency_std,judge_face_plausibility_mean,judge_face_plausibility_std,judge_trace_believability_mean,judge_trace_believability_std,face_believability_gap_mean,face_believability_gap_std,impossible_trace_rate_mean,impossible_trace_rate_std,done_state_loop_rate_mean,done_state_loop_rate_std,social_derailment_rate_mean,social_derailment_rate_std,constraint_satisfaction_mean,constraint_satisfaction_std,plan_plausibility_mean,plan_plausibility_std,plausibility_feasibility_gap_mean,plausibility_feasibility_gap_std,travel_efficiency_mean,travel_efficiency_std,budget_consistency_mean,budget_consistency_std,feasibility_violation_mean,feasibility_violation_std,city_false_continue_mean,city_false_continue_std,face_feasibility_gap_mean,face_feasibility_gap_std,route_interruption_count_mean,route_interruption_count_std,verified_replan_count_mean,verified_replan_count_std,llm_calls_mean,llm_calls_std,llm_latency_seconds_mean,llm_latency_seconds_std,llm_total_tokens_mean,llm_total_tokens_std,judge_rationale_alignment_mean,judge_rationale_alignment_std,judge_urban_common_sense_mean,judge_urban_common_sense_std,replanning_success_mean,replanning_success_std,process_success_mean,process_success_std,social_appropriateness_mean,social_appropriateness_std
closed_study_spot_replacement,agentsociety_official_plan_blocks,3,0.833,0.289,0.9,0.173,0.725,0.198,0.675,0.284,0.877,0.084,0.653,0.186,0.223,0.104,0.275,0.198,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.275,0.198,0.796,0.353,1.0,0.0,0.275,0.198,1.0,0.0,0.183,0.222,0.0,0.0,0.0,0.0,6.0,0.0,35.601,1.631,42624.333,372.777,0.843,0.131,0.823,0.133,,,,,,
closed_study_spot_replacement,gatsim_official_planner,3,1.0,0.0,1.0,0.0,0.917,0.072,0.917,0.072,0.767,0.046,0.403,0.08,0.363,0.049,0.083,0.072,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.083,0.072,0.447,0.102,1.0,0.0,0.083,0.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.443,29.121,18895.333,116.001,0.567,0.184,0.643,0.085,,,,,,
closed_study_spot_replacement,generative_agents_official_planner,3,0.5,0.0,0.7,0.0,0.547,0.041,0.383,0.029,0.923,0.057,0.743,0.108,0.18,0.052,0.453,0.041,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.453,0.041,0.953,0.041,1.0,0.0,0.453,0.041,1.0,0.0,0.376,0.078,0.0,0.0,0.0,0.0,6.333,1.155,35.137,5.662,37981.667,6755.663,0.407,0.446,0.873,0.031,,,,,,
closed_study_spot_replacement,sotopia_official_llm_agent,3,0.333,0.289,0.6,0.173,0.7,0.265,0.39,0.036,0.773,0.06,0.347,0.197,0.427,0.142,0.3,0.265,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3,0.265,1.0,0.0,1.0,0.0,0.3,0.265,0.667,0.577,0.17,0.165,0.0,0.0,0.0,0.0,4.333,2.082,17.591,7.071,30124.333,14612.111,0.273,0.081,0.573,0.309,,,,,,
detour_commute_midroute_block,agentsociety_official_plan_blocks,3,0.667,0.577,0.6,0.278,0.722,0.048,0.442,0.222,0.887,0.07,0.52,0.14,0.367,0.205,0.278,0.048,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.278,0.048,0.956,0.077,1.0,0.0,0.278,0.048,0.0,0.0,0.164,0.082,0.0,0.0,0.333,0.577,6.0,0.0,36.766,0.41,42431.667,684.81,0.823,0.093,0.683,0.138,0.333,0.577,0.333,0.577,,
detour_commute_midroute_block,gatsim_official_planner,3,0.667,0.577,0.7,0.361,0.958,0.072,0.688,0.381,0.587,0.356,0.18,0.1,0.407,0.284,0.042,0.072,0.0,0.0,0.0,0.0,0.889,0.192,1.0,0.0,0.042,0.072,0.531,0.294,1.0,0.0,0.042,0.072,0.333,0.577,0.0,0.0,1.0,0.0,0.333,0.577,2.333,0.577,19.822,4.332,22060.0,5878.737,0.387,0.324,0.26,0.095,0.333,0.577,0.333,0.577,,
detour_commute_midroute_block,generative_agents_official_planner,3,0.667,0.577,0.6,0.087,0.708,0.191,0.417,0.084,0.337,0.191,0.14,0.035,0.197,0.158,0.292,0.191,0.0,0.0,0.0,0.0,0.667,0.0,1.0,0.0,0.292,0.191,0.619,0.331,1.0,0.0,0.292,0.191,1.0,0.0,0.0,0.0,0.333,0.577,0.333,0.577,7.667,3.055,49.154,17.091,46172.333,16917.315,0.073,0.068,0.197,0.04,0.333,0.577,0.333,0.577,,
detour_commute_midroute_block,sotopia_official_llm_agent,3,0.0,0.0,0.583,0.115,1.0,0.0,0.583,0.115,0.687,0.208,0.24,0.072,0.447,0.154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.775,0.159,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.577,3.667,1.155,14.704,5.847,25038.667,7642.963,0.153,0.046,0.48,0.25,0.667,0.577,0.667,0.577,,
meeting_wait_trap,agentsociety_official_plan_blocks,3,0.308,0.0,0.35,0.0,0.613,0.049,0.214,0.017,0.847,0.015,0.37,0.036,0.477,0.051,0.387,0.049,0.0,0.0,0.0,0.0,0.429,0.0,1.0,0.0,0.387,0.049,0.655,0.311,1.0,0.0,0.387,0.049,0.667,0.577,0.234,0.062,0.0,0.0,0.0,0.0,9.333,1.155,59.431,4.666,67395.667,8871.381,0.79,0.036,0.727,0.012,,,,,0.5,0.0
meeting_wait_trap,gatsim_official_planner,3,0.0,0.0,0.217,0.115,0.759,0.285,0.181,0.149,0.5,0.336,0.14,0.106,0.36,0.231,0.241,0.285,0.0,0.0,0.0,0.0,0.619,0.33,0.667,0.577,0.241,0.285,0.606,0.376,1.0,0.0,0.241,0.285,0.333,0.577,0.105,0.182,0.0,0.0,0.0,0.0,3.0,2.646,33.126,20.003,28328.667,25209.972,0.393,0.294,0.363,0.263,,,,,0.0,0.0
