shots,seed,confidence_quartile,examples,mean_global_margin,baseline_accuracy,fused_accuracy,delta
1,1,1,52,0.28764641284942627,51.923078298568726,59.61538553237915,7.692307233810425
1,1,2,52,1.0715364217758179,63.461536169052124,63.461536169052124,0.0
1,1,3,51,1.8569793701171875,74.50980544090271,74.50980544090271,0.0
1,1,4,51,3.1008903980255127,82.35294222831726,82.35294222831726,0.0
1,2,1,52,0.3482449948787689,51.923078298568726,59.61538553237915,7.692307233810425
1,2,2,52,1.0875709056854248,65.38461446762085,69.2307710647583,3.846156597137451
1,2,3,51,1.8872060775756836,74.50980544090271,74.50980544090271,0.0
1,2,4,51,3.305659055709839,86.27451062202454,86.27451062202454,0.0
1,3,1,52,0.24993859231472015,63.461536169052124,61.538463830947876,-1.923072338104248
1,3,2,52,0.8217825293540955,55.7692289352417,57.692307233810425,1.9230782985687256
1,3,3,51,1.5990077257156372,80.39215803146362,80.39215803146362,0.0
1,3,4,51,2.6830694675445557,86.27451062202454,86.27451062202454,0.0
4,1,1,52,0.281352698802948,50.0,53.84615659713745,3.846156597137451
4,1,2,52,1.0556572675704956,69.2307710647583,69.2307710647583,0.0
4,1,3,51,1.8995349407196045,74.50980544090271,74.50980544090271,0.0
4,1,4,51,3.083705186843872,74.50980544090271,74.50980544090271,0.0
4,2,1,52,0.19457854330539703,59.61538553237915,57.692307233810425,-1.9230782985687256
4,2,2,52,0.5693241953849792,53.84615659713745,59.61538553237915,5.769228935241699
4,2,3,51,1.0938959121704102,70.58823704719543,68.6274528503418,-1.9607841968536377
4,2,4,51,2.0830161571502686,78.43137383460999,78.43137383460999,0.0
4,3,1,52,0.4339165985584259,55.7692289352417,53.84615659713745,-1.923072338104248
4,3,2,52,1.533478021621704,55.7692289352417,55.7692289352417,0.0
4,3,3,51,2.8366858959198,78.43137383460999,78.43137383460999,0.0
4,3,4,51,4.809324264526367,88.23529481887817,88.23529481887817,0.0
16,1,1,52,0.6502058506011963,55.7692289352417,55.7692289352417,0.0
16,1,2,52,2.300069570541382,57.692307233810425,59.61538553237915,1.9230782985687256
16,1,3,51,3.898202419281006,82.35294222831726,82.35294222831726,0.0
16,1,4,51,6.305407524108887,78.43137383460999,78.43137383460999,0.0
16,2,1,52,0.397176057100296,55.7692289352417,50.0,-5.769228935241699
16,2,2,52,1.1014784574508667,61.538463830947876,65.38461446762085,3.8461506366729736
16,2,3,51,2.1137804985046387,74.50980544090271,74.50980544090271,0.0
16,2,4,51,3.412961721420288,94.11764740943909,94.11764740943909,0.0
16,3,1,52,0.2183176577091217,57.692307233810425,59.61538553237915,1.9230782985687256
16,3,2,52,0.7534583806991577,55.7692289352417,59.61538553237915,3.846156597137451
16,3,3,51,1.4104574918746948,82.35294222831726,82.35294222831726,0.0
16,3,4,51,2.66694712638855,78.43137383460999,78.43137383460999,0.0
