shots,seed,class_name,examples,baseline_accuracy,fused_accuracy,delta
1,1,Romanesque,50,66.00000262260437,66.00000262260437,0.0
1,1,Gothic,52,78.84615659713745,73.07692170143127,-5.769234895706177
1,1,Renaissance,52,78.84615659713745,80.7692289352417,1.923072338104248
1,1,Baroque,52,48.076921701431274,59.61538553237915,11.538463830947876
1,2,Romanesque,50,80.0000011920929,75.99999904632568,-4.000002145767212
1,2,Gothic,52,59.61538553237915,57.692307233810425,-1.9230782985687256
1,2,Renaissance,52,73.07692170143127,78.84615659713745,5.769234895706177
1,2,Baroque,52,65.38461446762085,76.92307829856873,11.538463830947876
1,3,Romanesque,50,74.00000095367432,68.00000071525574,-6.000000238418579
1,3,Gothic,52,73.07692170143127,67.30769276618958,-5.769228935241699
1,3,Renaissance,52,76.92307829856873,78.84615659713745,1.9230782985687256
1,3,Baroque,52,61.538463830947876,71.15384340286255,9.615379571914673
4,1,Romanesque,50,69.9999988079071,69.9999988079071,0.0
4,1,Gothic,52,80.7692289352417,67.30769276618958,-13.461536169052124
4,1,Renaissance,52,69.2307710647583,73.07692170143127,3.8461506366729736
4,1,Baroque,52,48.076921701431274,61.538463830947876,13.461542129516602
4,2,Romanesque,50,74.00000095367432,75.99999904632568,1.9999980926513672
4,2,Gothic,52,73.07692170143127,61.538463830947876,-11.538457870483398
4,2,Renaissance,52,76.92307829856873,73.07692170143127,-3.846156597137451
4,2,Baroque,52,38.46153914928436,53.84615659713745,15.384617447853088
4,3,Romanesque,50,75.99999904632568,69.9999988079071,-6.000000238418579
4,3,Gothic,52,59.61538553237915,51.923078298568726,-7.692307233810425
4,3,Renaissance,52,78.84615659713745,82.69230723381042,3.8461506366729736
4,3,Baroque,52,63.461536169052124,71.15384340286255,7.692307233810425
16,1,Romanesque,50,75.99999904632568,77.99999713897705,1.9999980926513672
16,1,Gothic,52,55.7692289352417,55.7692289352417,0.0
16,1,Renaissance,52,75.0,78.84615659713745,3.846156597137451
16,1,Baroque,52,67.30769276618958,63.461536169052124,-3.846156597137451
16,2,Romanesque,50,63.999998569488525,68.00000071525574,4.000002145767212
16,2,Gothic,52,78.84615659713745,71.15384340286255,-7.692313194274902
16,2,Renaissance,52,78.84615659713745,78.84615659713745,0.0
16,2,Baroque,52,63.461536169052124,65.38461446762085,1.9230782985687256
16,3,Romanesque,50,69.9999988079071,72.00000286102295,2.0000040531158447
16,3,Gothic,52,75.0,71.15384340286255,-3.846156597137451
16,3,Renaissance,52,78.84615659713745,76.92307829856873,-1.9230782985687256
16,3,Baroque,52,50.0,59.61538553237915,9.61538553237915
