pdf_path,pdf_exists,fulltext_path,fulltext_exists,meta_path,meta_exists,page_count,text_char_count,source_group
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/01_Language_Agents_RL_Werewolf_Xu2023.meta.json,True,31,109180,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/02_LSPO_Werewolf_Xu2025_ICML.meta.json,True,23,84339,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/03_ProAgent_Zhang2024_AAAI.meta.json,True,9,45160,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/04_S3_Social_Network_Simulation_Gao2023.meta.json,True,18,60720,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.pdf,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.fulltext.md,True,assets/papers/pdfs/05_Multi_Agent_Social_Simulation/05_SOTOPIA_Zhou2024_ICLR.meta.json,True,45,125475,05_Multi_Agent_Social_Simulation
assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/01_AgeMem_Yu2026.meta.json,True,25,94167,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/02_MemGPT_Packer2023.meta.json,True,13,54188,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/03_Reflexion_Shinn2023_NeurIPS.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/03_Reflexion_Shinn2023_NeurIPS.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/03_Reflexion_Shinn2023_NeurIPS.meta.json,True,19,63526,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/04_AMEM_Xu2025.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/04_AMEM_Xu2025.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/04_AMEM_Xu2025.meta.json,True,28,80546,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/06_Place_Grid_Cells_Memory_Moser2015.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/06_Place_Grid_Cells_Memory_Moser2015.fulltext.md,False,assets/papers/pdfs/06_Agent_Memory_Cognitive/06_Place_Grid_Cells_Memory_Moser2015.meta.json,False,,,06_Agent_Memory_Cognitive
assets/papers/pdfs/06_Agent_Memory_Cognitive/07_Non_Spatial_Place_Grid_Cells_Love2019.pdf,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/07_Non_Spatial_Place_Grid_Cells_Love2019.fulltext.md,True,assets/papers/pdfs/06_Agent_Memory_Cognitive/07_Non_Spatial_Place_Grid_Cells_Love2019.meta.json,True,9,52279,06_Agent_Memory_Cognitive
assets/papers/pdfs/07_Evaluation_Methodology/01_GVGAI_LLM_Li2025.pdf,True,assets/papers/pdfs/07_Evaluation_Methodology/01_GVGAI_LLM_Li2025.fulltext.md,True,assets/papers/pdfs/07_Evaluation_Methodology/01_GVGAI_LLM_Li2025.meta.json,True,11,46011,07_Evaluation_Methodology
assets/papers/pdfs/07_Evaluation_Methodology/02_LLM_as_Judge_MT_Bench_Zheng2023_NeurIPS.pdf,True,assets/papers/pdfs/07_Evaluation_Methodology/02_LLM_as_Judge_MT_Bench_Zheng2023_NeurIPS.fulltext.md,True,assets/papers/pdfs/07_Evaluation_Methodology/02_LLM_as_Judge_MT_Bench_Zheng2023_NeurIPS.meta.json,True,29,80514,07_Evaluation_Methodology
assets/papers/pdfs/07_Evaluation_Methodology/03_Survey_LLM_as_Judge_2024.pdf,True,assets/papers/pdfs/07_Evaluation_Methodology/03_Survey_LLM_as_Judge_2024.fulltext.md,True,assets/papers/pdfs/07_Evaluation_Methodology/03_Survey_LLM_as_Judge_2024.meta.json,True,64,227711,07_Evaluation_Methodology
assets/papers/pdfs/07_Evaluation_Methodology/07_Network_Formation_LLMs_Papachristou2025.pdf,True,assets/papers/pdfs/07_Evaluation_Methodology/07_Network_Formation_LLMs_Papachristou2025.fulltext.md,True,assets/papers/pdfs/07_Evaluation_Methodology/07_Network_Formation_LLMs_Papachristou2025.meta.json,True,48,117884,07_Evaluation_Methodology
assets/papers/pdfs/2303.02160v1.pdf,True,assets/papers/pdfs/2303.02160v1.fulltext.md,True,assets/papers/pdfs/2303.02160v1.meta.json,True,18,88865,pdfs
assets/papers/pdfs/cshperspect-LNM-a021808.pdf,True,assets/papers/pdfs/cshperspect-LNM-a021808.fulltext.md,True,assets/papers/pdfs/cshperspect-LNM-a021808.meta.json,True,15,58106,pdfs
