node_id,connectivity,integration,mean_depth,control_value,openness,connectivity_z,connectivity_norm,integration_z,integration_norm,mean_depth_z,mean_depth_norm,control_value_z,control_value_norm,openness_z,openness_norm
archive_room,3.0,0.3888888888888889,2.5714285714285716,1.6666666666666665,0.28,0.32969023669789366,0.5,-0.1928902866014976,0.4082125603864735,8.79251776862914e-16,0.4347826086956523,1.426148065624585,1.0,-1.0547421504665409,0.1298701298701299
east_arcade,3.0,0.45161290322580644,2.2142857142857144,0.8666666666666667,0.7,0.32969023669789366,0.5,0.7046618809089116,0.6563814866760169,-0.7071067811865467,0.21739130434782614,-0.28522961312491674,0.4000000000000001,0.7460371308177969,0.6753246753246753
garden_nook,3.0,0.3888888888888889,2.5714285714285716,1.6666666666666665,0.32,0.32969023669789366,0.5,-0.1928902866014976,0.4082125603864735,8.79251776862914e-16,0.4347826086956523,1.426148065624585,1.0,-0.8832393617727945,0.18181818181818182
guard_tower,1.0,0.2857142857142857,3.5,0.3333333333333333,0.58,-1.6484511834894673,0.0,-1.6692720152002531,0.0,1.838477631085024,1.0,-1.4261480656245848,0.0,0.23152876473655748,0.5194805194805194
guild_hall,3.0,0.4375,2.2857142857142856,1.0,0.46,0.32969023669789366,0.5,0.5027126432190696,0.6005434782608696,-0.5656854249492377,0.2608695652173912,2.375013628471565e-16,0.5000000000000001,-0.2829796013446817,0.36363636363636365
herb_cloister,1.0,0.2857142857142857,3.5,0.3333333333333333,0.2,-1.6484511834894673,0.0,-1.6692720152002531,0.0,1.838477631085024,1.0,-1.4261480656245848,0.0,-1.3977477278540338,0.025974025974025997
market_lane,3.0,0.45161290322580644,2.2142857142857144,0.8666666666666667,0.64,0.32969023669789366,0.5,0.7046618809089116,0.6563814866760169,-0.7071067811865467,0.21739130434782614,-0.28522961312491674,0.4000000000000001,0.48878294777717746,0.5974025974025974
north_avenue,3.0,0.45161290322580644,2.2142857142857144,0.8666666666666667,0.82,0.32969023669789366,0.5,0.7046618809089116,0.6563814866760169,-0.7071067811865467,0.21739130434782614,-0.28522961312491674,0.4000000000000001,1.2605454968990364,0.831168831168831
plaza_center,5.0,0.5384615384615384,1.8571428571428572,1.6666666666666665,0.95,2.307831656885255,1.0,1.947426420538709,1.0,-1.4142135623730943,0.0,1.426148065624585,1.0,1.8179295601537124,1.0
service_alley,2.0,0.3684210526315789,2.7142857142857144,0.6666666666666666,0.24,-0.6593804733957869,0.25,-0.48577573073647373,0.32723112128146453,0.28284271247461973,0.5217391304347827,-0.7130740328122924,0.25,-1.2262449391602874,0.07792207792207792
shrine_court,3.0,0.4375,2.2857142857142856,1.0,0.54,0.32969023669789366,0.5,0.5027126432190696,0.6005434782608696,-0.5656854249492377,0.2608695652173912,2.375013628471565e-16,0.5000000000000001,0.06002597604281132,0.4675324675324676
south_avenue,3.0,0.4375,2.2857142857142856,1.0333333333333332,0.78,0.32969023669789366,0.5,0.5027126432190696,0.6005434782608696,-0.5656854249492377,0.2608695652173912,0.07130740328122924,0.525,1.0890427082052903,0.7792207792207794
vault_cell,1.0,0.2857142857142857,3.5,0.3333333333333333,0.18,-1.6484511834894673,0.0,-1.6692720152002531,0.0,1.838477631085024,1.0,-1.4261480656245848,0.0,-1.4834991222009073,0.0
watch_gate,3.0,0.3888888888888889,2.5714285714285716,1.6666666666666665,0.52,0.32969023669789366,0.5,-0.1928902866014976,0.4082125603864735,8.79251776862914e-16,0.4347826086956523,1.426148065624585,1.0,-0.025725418304061994,0.4415584415584416
west_arcade,3.0,0.4375,2.2857142857142856,1.0333333333333332,0.68,0.32969023669789366,0.5,0.5027126432190696,0.6005434782608696,-0.5656854249492377,0.2608695652173912,0.07130740328122924,0.525,0.660285736470924,0.6493506493506493
