2026/07/27 09:14:33.259, 0, 1, 16.22, 31
2026/07/27 09:14:35.305, 0, 1, 16.26, 31
2026/07/27 09:14:37.350, 0, 1, 15.99, 31
2026/07/27 09:14:39.398, 0, 4, 23.42, 31
2026/07/27 09:14:41.442, 0, 4, 16.12, 30
2026/07/27 09:14:43.487, 42, 988, 151.35, 36
2026/07/27 09:14:45.525, 55, 1122, 260.45, 40
2026/07/27 09:14:47.561, 53, 1122, 261.10, 41
2026/07/27 09:14:49.604, 35, 1122, 211.63, 40
2026/07/27 09:14:51.663, 0, 1122, 96.59, 37
2026/07/27 09:14:53.703, 0, 1, 93.60, 36
2026/07/27 09:14:55.746, 0, 1, 73.97, 34
2026/07/27 09:14:57.786, 0, 4, 22.09, 34
2026/07/27 09:14:59.831, 0, 4, 17.41, 34
2026/07/27 09:15:01.876, 42, 1032, 117.79, 38
2026/07/27 09:15:03.918, 1, 1336, 230.44, 39
2026/07/27 09:15:05.956, 5, 1572, 107.87, 37
2026/07/27 09:15:08.000, 0, 1620, 107.86, 38
2026/07/27 09:15:10.043, 0, 1620, 107.92, 38
2026/07/27 09:15:12.088, 3, 1620, 100.17, 38
2026/07/27 09:15:14.132, 20, 1620, 107.87, 38
2026/07/27 09:15:16.165, 10, 1620, 110.54, 38
2026/07/27 09:15:18.201, 0, 1620, 108.81, 38
2026/07/27 09:15:20.243, 35, 1620, 108.22, 40
2026/07/27 09:15:22.278, 0, 1620, 108.69, 39
2026/07/27 09:15:24.315, 21, 1620, 108.57, 39
2026/07/27 09:15:26.352, 4, 1620, 108.43, 39
2026/07/27 09:15:28.391, 7, 1620, 108.41, 39
2026/07/27 09:15:30.428, 8, 1620, 105.55, 39
2026/07/27 09:15:32.470, 0, 1620, 108.74, 39
2026/07/27 09:15:34.507, 38, 1620, 107.79, 40
2026/07/27 09:15:36.548, 0, 1620, 108.90, 39
2026/07/27 09:15:38.585, 20, 1620, 108.23, 40
2026/07/27 09:15:40.624, 0, 1620, 108.90, 39
2026/07/27 09:15:42.661, 36, 1620, 107.95, 40
2026/07/27 09:15:44.699, 20, 1620, 108.46, 40
2026/07/27 09:15:46.734, 0, 1620, 109.30, 40
2026/07/27 09:15:48.771, 18, 1620, 108.26, 41
2026/07/27 09:15:50.811, 0, 1620, 109.19, 40
2026/07/27 09:15:52.849, 34, 1620, 108.17, 42
2026/07/27 09:15:54.886, 0, 1620, 108.97, 40
2026/07/27 09:15:56.929, 22, 1620, 108.21, 41
2026/07/27 09:15:58.965, 11, 1620, 109.14, 40
2026/07/27 09:16:01.004, 0, 1620, 109.11, 40
2026/07/27 09:16:03.042, 15, 1620, 105.87, 40
2026/07/27 09:16:05.078, 0, 1620, 114.14, 40
2026/07/27 09:16:07.116, 0, 1, 94.15, 40
2026/07/27 09:16:09.158, 0, 1, 74.17, 39
2026/07/27 09:16:11.204, 0, 1, 28.19, 37
2026/07/27 09:16:13.251, 0, 4, 24.34, 37
2026/07/27 09:16:15.295, 14, 606, 22.02, 38
2026/07/27 09:16:17.333, 42, 1162, 224.99, 43
2026/07/27 09:16:19.371, 46, 1170, 256.23, 44
2026/07/27 09:16:21.415, 50, 1170, 245.32, 46
2026/07/27 09:16:23.454, 40, 1170, 260.19, 48
2026/07/27 09:16:25.493, 54, 1170, 257.94, 48
2026/07/27 09:16:27.532, 58, 1170, 256.48, 49
2026/07/27 09:16:29.571, 34, 1170, 185.54, 47
2026/07/27 09:16:31.608, 0, 1, 96.24, 44
2026/07/27 09:16:33.641, 0, 1, 78.75, 42
2026/07/27 09:16:35.680, 0, 1, 34.55, 40
2026/07/27 09:16:37.723, 0, 4, 22.64, 40
2026/07/27 09:16:39.770, 2, 282, 20.23, 40
2026/07/27 09:16:41.803, 0, 1050, 179.98, 43
2026/07/27 09:16:43.837, 0, 1544, 182.03, 44
2026/07/27 09:16:45.873, 7, 1562, 146.86, 44
2026/07/27 09:16:47.911, 22, 1794, 127.15, 43
2026/07/27 09:16:49.950, 6, 1794, 111.21, 42
2026/07/27 09:16:51.987, 0, 1794, 111.78, 42
2026/07/27 09:16:54.025, 22, 1794, 111.17, 43
2026/07/27 09:16:56.062, 21, 1794, 110.67, 43
2026/07/27 09:16:58.097, 0, 1794, 111.46, 42
2026/07/27 09:17:00.133, 0, 1794, 111.53, 42
2026/07/27 09:17:02.175, 3, 1794, 108.40, 42
2026/07/27 09:17:04.215, 52, 1794, 110.64, 43
2026/07/27 09:17:06.255, 0, 1794, 111.64, 42
2026/07/27 09:17:08.292, 12, 1794, 110.73, 42
2026/07/27 09:17:10.333, 20, 1794, 111.45, 43
2026/07/27 09:17:12.377, 14, 1794, 101.74, 42
2026/07/27 09:17:14.420, 0, 1794, 111.80, 42
2026/07/27 09:17:16.459, 0, 1794, 111.30, 42
2026/07/27 09:17:18.499, 4, 1794, 111.53, 42
2026/07/27 09:17:20.542, 36, 1794, 110.96, 45
2026/07/27 09:17:22.578, 0, 1794, 111.54, 42
2026/07/27 09:17:24.614, 4, 1794, 111.13, 42
2026/07/27 09:17:26.655, 0, 1794, 111.37, 42
2026/07/27 09:17:28.691, 51, 1794, 110.43, 44
2026/07/27 09:17:30.729, 0, 1794, 111.52, 42
2026/07/27 09:17:32.767, 14, 1794, 111.33, 42
2026/07/27 09:17:34.803, 14, 1794, 111.06, 42
2026/07/27 09:17:36.842, 50, 1794, 109.86, 45
2026/07/27 09:17:38.876, 0, 1794, 111.14, 42
2026/07/27 09:17:40.915, 23, 1794, 111.14, 42
2026/07/27 09:17:42.963, 15, 1794, 111.09, 42
2026/07/27 09:17:44.997, 8, 1794, 111.03, 42
2026/07/27 09:17:47.037, 0, 1794, 111.05, 42
2026/07/27 09:17:49.075, 22, 1794, 111.40, 43
2026/07/27 09:17:51.113, 20, 1794, 111.18, 43
2026/07/27 09:17:53.153, 9, 1794, 106.45, 42
2026/07/27 09:17:55.193, 0, 1794, 111.61, 42
2026/07/27 09:17:57.234, 10, 1794, 111.53, 43
2026/07/27 09:17:59.273, 4, 1794, 111.15, 42
2026/07/27 09:18:01.313, 11, 1794, 110.72, 42
2026/07/27 09:18:03.353, 0, 1794, 111.34, 42
2026/07/27 09:18:05.388, 25, 1794, 110.64, 42
2026/07/27 09:18:07.426, 12, 1794, 111.51, 43
2026/07/27 09:18:09.463, 13, 1794, 108.56, 43
2026/07/27 09:18:11.498, 0, 1794, 111.39, 42
2026/07/27 09:18:13.535, 23, 1794, 110.80, 42
2026/07/27 09:18:15.575, 22, 1794, 110.98, 43
2026/07/27 09:18:17.615, 51, 1794, 110.97, 42
2026/07/27 09:18:19.657, 0, 1794, 111.42, 42
2026/07/27 09:18:21.695, 19, 1794, 111.58, 43
2026/07/27 09:18:23.734, 1, 1794, 111.30, 42
2026/07/27 09:18:25.769, 18, 1794, 101.42, 43
2026/07/27 09:18:27.802, 0, 1794, 111.33, 42
2026/07/27 09:18:29.838, 0, 1794, 111.65, 42
2026/07/27 09:18:31.872, 16, 1794, 111.44, 42
2026/07/27 09:18:33.905, 4, 1794, 111.20, 42
2026/07/27 09:18:35.943, 28, 1794, 110.83, 43
2026/07/27 09:18:37.981, 0, 1794, 111.98, 42
2026/07/27 09:18:40.020, 0, 1794, 111.75, 42
2026/07/27 09:18:42.058, 37, 1794, 135.80, 43
2026/07/27 09:18:44.099, 0, 1, 95.94, 42
2026/07/27 09:18:46.140, 0, 1, 82.78, 41
2026/07/27 09:18:48.181, 0, 1, 28.51, 39
2026/07/27 09:18:50.227, 0, 4, 24.26, 38
2026/07/27 09:18:52.273, 0, 4, 17.17, 38
2026/07/27 09:18:54.320, 63, 990, 212.98, 47
2026/07/27 09:18:56.359, 48, 1006, 230.73, 46
2026/07/27 09:18:58.395, 54, 1050, 293.20, 49
2026/07/27 09:19:00.434, 39, 1050, 268.70, 49
2026/07/27 09:19:02.477, 56, 1050, 295.03, 51
2026/07/27 09:19:04.514, 52, 1050, 294.43, 52
2026/07/27 09:19:06.549, 53, 1050, 295.42, 53
2026/07/27 09:19:08.586, 44, 1050, 283.80, 53
2026/07/27 09:19:10.626, 55, 1050, 267.52, 54
2026/07/27 09:19:12.672, 50, 1050, 279.84, 54
2026/07/27 09:19:14.716, 53, 1050, 299.24, 55
2026/07/27 09:19:16.757, 54, 1050, 287.80, 56
2026/07/27 09:19:18.795, 45, 1050, 293.55, 56
2026/07/27 09:19:20.831, 39, 1050, 218.77, 54
2026/07/27 09:19:22.867, 0, 1050, 100.77, 49
2026/07/27 09:19:24.906, 0, 1, 91.03, 47
2026/07/27 09:19:26.946, 0, 1, 45.84, 45
2026/07/27 09:19:28.985, 0, 4, 25.27, 44
2026/07/27 09:19:31.030, 0, 4, 20.24, 43
2026/07/27 09:19:33.074, 44, 1036, 143.52, 49
2026/07/27 09:19:35.117, 0, 1284, 155.76, 46
2026/07/27 09:19:37.157, 22, 1558, 208.12, 48
2026/07/27 09:19:39.198, 23, 1562, 215.73, 49
2026/07/27 09:19:41.235, 11, 1562, 180.20, 49
2026/07/27 09:19:43.268, 6, 1562, 115.84, 46
2026/07/27 09:19:45.302, 22, 1562, 112.29, 46
2026/07/27 09:19:47.335, 3, 1562, 110.24, 45
2026/07/27 09:19:49.371, 0, 1562, 111.59, 45
2026/07/27 09:19:51.409, 14, 1562, 109.52, 45
2026/07/27 09:19:53.441, 8, 1562, 109.43, 44
2026/07/27 09:19:55.477, 7, 1562, 112.15, 44
2026/07/27 09:19:57.516, 5, 1562, 109.58, 44
2026/07/27 09:19:59.551, 18, 1562, 109.77, 44
2026/07/27 09:20:01.588, 18, 1562, 108.97, 44
2026/07/27 09:20:03.635, 5, 1562, 109.04, 43
2026/07/27 09:20:05.674, 4, 1562, 111.48, 43
2026/07/27 09:20:07.714, 17, 1562, 109.92, 43
2026/07/27 09:20:09.751, 26, 1562, 111.03, 43
2026/07/27 09:20:11.787, 8, 1562, 107.77, 43
2026/07/27 09:20:13.821, 6, 1562, 108.75, 43
2026/07/27 09:20:15.854, 4, 1562, 108.35, 42
2026/07/27 09:20:17.887, 27, 1562, 110.60, 43
2026/07/27 09:20:19.921, 22, 1562, 110.39, 43
